VertX,VertY,VertZ,Latitude,Longtitude,Elevation
0,0,0,43.451,-80.49482,330.5183410644531
0,0,0,43.45101,-80.49482,330.55029296875
0,0,0,43.451,-80.49483,330.5047302246094
0,0,0,43.45101,-80.49483,330.5407409667969
0,0,0,43.451,-80.49484,330.4911193847656
0,0,0,43.45101,-80.49484,330.5312194824219
0,0,0,43.451,-80.49485,330.4775390625
0,0,0,43.45101,-80.49485,330.5216979980469
0,0,0,43.451,-80.49486,330.4439392089844
0,0,0,43.45101,-80.49486,330.4920349121094
0,0,0,43.451,-80.49487,330.4051208496094
0,0,0,43.45101,-80.49487,330.4571228027344
0,0,0,43.451,-80.49488,330.3663024902344
0,0,0,43.45101,-80.49488,330.4222412109375
0,0,0,43.451,-80.49489,330.3274841308594
0,0,0,43.45101,-80.49489,330.3873291015625
0,0,0,43.451,-80.4949,330.2870178222656
0,0,0,43.45101,-80.4949,330.3507995605469
0,0,0,43.451,-80.49491,330.2449340820312
0,0,0,43.45101,-80.49491,330.3126220703125
0,0,0,43.451,-80.49492,330.2028198242188
0,0,0,43.45101,-80.49492,330.2744750976562
0,0,0,43.451,-80.49493,330.1607055664062
0,0,0,43.45101,-80.49493,330.2362976074219
0,0,0,43.451,-80.49494,330.1227722167969
0,0,0,43.45101,-80.49494,330.2017517089844
0,0,0,43.451,-80.49495,330.1004028320312
0,0,0,43.45101,-80.49495,330.1807861328125
0,0,0,43.451,-80.49496,330.0780639648438
0,0,0,43.45101,-80.49496,330.1598205566406
0,0,0,43.451,-80.49497,330.0557250976562
0,0,0,43.45101,-80.49497,330.1388549804688
0,0,0,43.451,-80.49498,330.0333862304688
0,0,0,43.45101,-80.49498,330.1178894042969
0,0,0,43.451,-80.49499,330.0240783691406
0,0,0,43.45101,-80.49499,330.108154296875
0,0,0,43.451,-80.495,330.0158996582031
0,0,0,43.45101,-80.495,330.0993957519531
0,0,0,43.451,-80.49501,330.0077209472656
0,0,0,43.45101,-80.49501,330.0906372070312
0,0,0,43.451,-80.49502,329.9995422363281
0,0,0,43.45101,-80.49502,330.0818786621094
0,0,0,43.451,-80.49503,329.9947509765625
0,0,0,43.45101,-80.49503,330.0757141113281
0,0,0,43.451,-80.49504,329.991943359375
0,0,0,43.45101,-80.49504,330.0711059570312
0,0,0,43.451,-80.49505,329.9891357421875
0,0,0,43.45101,-80.49505,330.0664978027344
0,0,0,43.451,-80.49506,329.986328125
0,0,0,43.45101,-80.49506,330.0618896484375
0,0,0,43.451,-80.49507,329.9881896972656
0,0,0,43.45101,-80.49507,330.0608520507812
0,0,0,43.451,-80.49508,329.9992980957031
0,0,0,43.45101,-80.49508,330.06689453125
0,0,0,43.451,-80.49509,330.0104370117188
0,0,0,43.45101,-80.49509,330.0729370117188
0,0,0,43.451,-80.4951,330.0215454101562
0,0,0,43.45101,-80.4951,330.0789794921875
0,0,0,43.451,-80.49511,330.0326843261719
0,0,0,43.45101,-80.49511,330.0850524902344
0,0,0,43.451,-80.49512,330.0438842773438
0,0,0,43.45101,-80.49512,330.0911254882812
0,0,0,43.451,-80.49513,330.0550842285156
0,0,0,43.45101,-80.49513,330.0972290039062
0,0,0,43.451,-80.49514,330.0663146972656
0,0,0,43.45101,-80.49514,330.1033020019531
0,0,0,43.451,-80.49515,330.0775146484375
0,0,0,43.45101,-80.49515,330.1094055175781
0,0,0,43.451,-80.49516,330.0677795410156
0,0,0,43.45101,-80.49516,330.1035766601562
0,0,0,43.451,-80.49517,330.0512084960938
0,0,0,43.45101,-80.49517,330.0938415527344
0,0,0,43.451,-80.49518,330.0346069335938
0,0,0,43.45101,-80.49518,330.0840759277344
0,0,0,43.451,-80.49519,330.0180358886719
0,0,0,43.45101,-80.49519,330.0743408203125
